"場所\ﾀｽｸ名"	"状態"	"説明"	"ﾀｽｸの実行時に使うﾕｰｻﾞｰ ｱｶｳﾝﾄ"	"(実行種別)"	"最上位の特権で実行する"	"表示しない"	"構成"	"ﾀｽｸの開始"	"遅延時間を指定する"	"遅延時間"	"繰り返し間隔"	"繰り返し間隔"	"継続時間"	"繰り返し継続時間の最後に実行中のすべてのﾀｽｸを停止する"	"停止するまでの時間"	"停止するまでの時間"	"開始/ｱｸﾃｨﾌﾞ化"	"開始/ｱｸﾃｨﾌﾞ化"	"有効期限"	"有効期限"	"有効"	"操作"	"次の間ｱｲﾄﾞﾙ状態の場合のみﾀｽｸを開始する"	"時間"	"ｱｲﾄﾞﾙ状態になるのを待機する時間"	"ｺﾝﾋﾟｭｰﾀがｱｲﾄﾞﾙ状態でなくなった場合は停止する"	"再びｱｲﾄﾞﾙ状態になったら再開する"	"ｺﾝﾋﾟｭｰﾀをAC電源で使用している場合のみﾀｽｸを開始する"	"ｺﾝﾋﾟｭｰﾀの電源をﾊﾞｯﾃﾘに切り替える場合は停止する"	"ﾀｽｸを実行するためにｽﾘｰﾌﾟを解除する"	"次のﾈｯﾄﾜｰｸ接続が使用可能な場合のみﾀｽｸを開始する"	"ﾈｯﾄﾜｰｸ接続"	"ﾀｽｸを要求時に実行する"	"ｽｹｼﾞｭｰﾙされた時刻にﾀｽｸを開始できなかった場合、すぐにﾀｽｸを実行する"	"ﾀｽｸが失敗した場合の再起動の間隔"	"間隔"	"再起動試行の最大数"	"ﾀｽｸを停止するまでの時間"	"時間"	"要求時に実行中のﾀｽｸが終了しない場合、ﾀｽｸを強制的に停止する"	"ﾀｽｸの再実行がｽｹｼﾞｭｰﾙされていない場合に削除されるまでの時間"	"時間"	"ﾀｽｸが既に実行中の場合に適用される規則"
"\Microsoft\Windows\AppID\PolicyConverter"	"無効"	"ソフトウェアの制限のポリシーを XML 形式からバイナリ形式に変換します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\appidpolicyconverter.exe"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
"\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck"	"無効"	"AppID 証明書キャッシュに、無効な証明書や失効した証明書がないかどうかを調べます。"	"NT AUTHORITY\LOCAL SERVICE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｽﾀｰﾄｱｯﾌﾟ時 設定:(なし)"	"レ"	"30分間"	"レ"	"1日間"	"無期限"	"□"	"□"	""	"□"	""	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\appidcertstorecheck.exe"	"レ"	"3分間"	"23時間"	"レ"	"レ"	"レ"	"レ"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
"\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser"	"有効"	"Microsoft カスタマー エクスペリエンス向上プログラムに参加している場合に、プログラムの利用統計情報を収集します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:1回"	"レ"	"2時間"	"レ"	"1日間"	"無期限"	"□"	"□"	""	"レ"	"2008-09-01 03:00:00"	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\compattelrunner.exe"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"レ"	"□"	""	""	"レ"	"4日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:750CBCA3290B9641"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"□"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\Application Experience\ProgramDataUpdater"	"有効"	"$(@%SystemRoot%\system32\invagent.dll,-702)"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\compattelrunner.exe 引数の追加:-maintenance"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Application Experience\StartupAppTask"	"有効"	"スタートアップ エントリが多すぎる場合は、スタートアップ エントリをスキャンしてユーザーに通知します。"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\rundll32.exe 引数の追加:Startupscan.dll,SusRunTask"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\ApplicationData\appuriverifierdaily"	"有効"	"AppUriHandler ホストの登録を検証します。"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:毎日 間隔(日):1"	"□"	""	"□"	""	""	""	"レ"	"5分間"	"レ"	"2016-04-11 03:00:00"	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\AppHostRegistrationVerifier.exe"	"レ"	"10分間"	"1時間"	"□"	""	"レ"	"レ"	"□"	"レ"	"任意の接続"	"レ"	"レ"	"□"	""	""	"レ"	"15分間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\ApplicationData\appuriverifierinstall"	"有効"	"AppUriHandler ホストの登録を検証します。"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:毎週 間隔(週):1 曜日:土"	"□"	""	"□"	""	""	""	"レ"	"5分間"	"レ"	"2016-04-11 03:00:00"	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\AppHostRegistrationVerifier.exe"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"レ"	"□"	""	""	"レ"	"15分間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7508BCA32C7C8741"	"レ"	"1分間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\ApplicationData\CleanupTemporaryState"	"有効"	"Cleans up each package's unused temporary files."	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\rundll32.exe 引数の追加:Windows.Storage.ApplicationData.dll,CleanupTemporaryState"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\ApplicationData\DsSvcCleanup"	"有効"	"データ共有サービスのメンテナンスを実行します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\dstokenclean.exe"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\AppxDeploymentClient\Pre-staged app cleanup"	"有効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ﾛｸﾞｵﾝ時 設定:任意のﾕｰｻﾞｰ"	"レ"	"1時間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\rundll32.exe 引数の追加:%windir%\system32\AppxDeploymentClient.dll,AppxPreStageCleanupRunTask"	"レ"	"15分間"	"1時間"	"□"	""	"レ"	"レ"	"□"	"□"	""	"レ"	"□"	"□"	""	""	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Autochk\Proxy"	"有効"	"このタスクは、Microsoft カスタマー エクスペリエンス向上プログラムに参加している場合、autochk SQM データを収集してアップロードします。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｽﾀｰﾄｱｯﾌﾟ時 設定:(なし)"	"レ"	"30分間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\rundll32.exe 引数の追加:/d acproxy.dll,PerformAutochkOperations"	"レ"	"10分間"	"365日間"	"□"	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\BitLocker\BitLocker MDM policy Refresh"	"有効"	""	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7540BCA32B188341"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{61BCD1B9-340C-40EC-9D41-D7F1C0632F05} Data:BitLockerPolicy"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Bluetooth\UninstallDeviceTask"	"有効"	"指定された Bluetooth サービス ID に関連する PnP デバイスをアンインストールします"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:BthUdTask.exe 引数の追加:$(Arg0)"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\BrokerInfrastructure\BgTaskRegistrationMaintenanceTask"	"有効"	"ユニバーサル Windows プラットフォーム アプリケーションのバックグラウンド タスクの登録を維持します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{E984D939-0E00-4DD9-AC3A-7ACA04745521}"	"レ"	"1秒間"	"1時間"	"レ"	"□"	"レ"	"レ"	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"5分間"	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\CertificateServicesClient\AikCertEnrollTask"	"有効"	"このタスクは、証明書を認証 ID キーに登録します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7510BCA323098541"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{47E30D54-DAC1-473A-AFF7-2355BF78881F} Data:AIKCertEnroll"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
"\Microsoft\Windows\CertificateServicesClient\CryptoPolicyTask"	"有効"	"このタスクは、暗号化ポリシーを同期します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7530BCA323098541"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{47E30D54-DAC1-473A-AFF7-2355BF78881F} Data:CryptoPolicy"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
"\Microsoft\Windows\CertificateServicesClient\KeyPreGenTask"	"有効"	"このタスクは、TPM ベースの認証 ID キー (AIK) およびストレージ キー (SK) を事前生成します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7508BCA323098541"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{47E30D54-DAC1-473A-AFF7-2355BF78881F} Data:NGCKeyPregen"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7520BCA323098541"	"レ"	"10分間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:75C0BCA33E06830D"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ﾛｸﾞｵﾝ時 設定:任意のﾕｰｻﾞｰ"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"□"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ﾕｰｻﾞｰ ｾｯｼｮﾝへの接続時 設定:任意のﾕｰｻﾞｰ ～からの接続:ﾛｰｶﾙ ｺﾝﾋﾟｭｰﾀ"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"□"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
